,Title,author,rating,num_rating,num_reviews,pages,publish_year,url,series,awards,genre_1,genre_2,genre_3,places
0,Harry Potter and the Deathly Hallows,J.K. Rowling,4.62,"2,883,244 ratings","66,759 reviews",759 pages,Published July 21st 2007 by Arthur A. Levine Books,https://www.arthuralevinebooks.com/harry-potter-and-the-deathly-hallows,Harry Potter #7,"Locus Award Nominee for Best Young Adult Novel (2008), Odyssey Award Nominee (2008), Audie Award (2008), Books I Loved Best Yearly (BILBY) Awards for Older Readers (2008), Teen Read Award Nominee for Best All-Time-Fave (2010) ...more",Fantasy,Young Adult,Fiction,
1,The Hunger Games,Suzanne Collins,4.33,"6,533,809 ratings","173,706 reviews",374 pages,Published September 14th 2008 by Scholastic Press,,The Hunger Games #1,"Locus Award Nominee for Best Young Adult Book (2009), Georgia Peach Book Award (2009), Buxtehuder Bulle (2009), Golden Duck Award for Young Adult (Hal Clement Award) (2009), Grand Prix de l'Imaginaire Nominee for Roman jeunesse étranger (2010) ...more",Young Adult,Fiction,Science Fiction,
2,Harry Potter and the Half-Blood Prince,J.K. Rowling,4.57,"2,506,722 ratings","40,531 reviews",,Published September 16th 2006 by Scholastic Inc. (first published July 16th 2005),Harry Potter #6,Draco Malfoy,,,,,
3,Harry Potter and the Goblet of Fire,J.K. Rowling,4.56,"2,672,283 ratings","47,871 reviews",734 pages,Published September 28th 2002 by Scholastic (first published July 8th 2000),Harry Potter #4,Sirius Black,,,,,
4,Harry Potter and the Order of the Phoenix,J.K. Rowling,4.50,"2,581,093 ratings","43,636 reviews",870 pages,Published September 2004 by Scholastic Inc. (first published June 21st 2003),,Harry Potter #5,"Bram Stoker Award for Works for Young Readers (2003), Anthony Award for Young Adult (2004), Mythopoeic Fantasy Award for Children's Literature (2008), Audie Award for Audiobook of the Year (2004), Books I Loved Best Yearly (BILBY) Awards for Older Readers (2004) ...more",,,,
5,The Book Thief,Markus Zusak,4.37,"1,887,478 ratings","114,588 reviews",552 pages,Published March 14th 2006 by Alfred A. Knopf (first published September 1st 2005),,Liesel Meminger,,Historical,Fiction,Young Adult,
6,The Time Traveler's Wife,Audrey Niffenegger,3.98,"1,599,286 ratings","47,612 reviews",500 pages,Published September 23rd 2013 by Zola Books (first published July 5th 2003),,Henry DeTamble,,,,,
7,The Kite Runner,Khaled Hosseini,4.31,"2,483,222 ratings","74,907 reviews",371 pages,Published May 2004 by Riverhead Books (first published May 29th 2003),https://khaledhosseini.com/books/the-kite-runner/,Amir,,Fiction,Historical,Contemporary,
8,The Help,Kathryn Stockett,4.46,"2,217,924 ratings","85,060 reviews",,Published February 10th 2009 by Amy Einhorn Books/G.P. Putnam's Sons,http://www.kathrynstockett.com/stockett-synopsis.htm,Constantine Bates,,,,,
9,A Thousand Splendid Suns,Khaled Hosseini,4.38,"1,179,376 ratings","55,175 reviews",372 pages,Published June 1st 2007 by Riverhead Books (first published May 22nd 2007),,https://khaledhosseini.com/books/a-thousand-splendid-suns/,"British Book Award for Best Read of the Year (2008), Book Sense Book of the Year Award for Adult Fiction (2008), California Book Award for Fiction (Silver) (2007), Exclusive Books Boeke Prize Nominee (2007), Lincoln Award Nominee (2011)",Fiction,Historical,Contemporary,
10,Catching Fire,Suzanne Collins,4.29,"2,587,462 ratings","97,671 reviews",391 pages,Published September 1st 2009 by Scholastic Press,,,,,,,
11,Twilight,Stephenie Meyer,3.60,"5,087,195 ratings","105,670 reviews",,"Published September 6th 2006 by Little, Brown and Company (first published October 5th 2005)",,The Twilight Saga #1,"Georgia Peach Book Award (2007), Buxtehuder Bulle (2006), Kentucky Bluegrass Award for 9-12 (2007), Prijs van de Kinder- en Jeugdjury Vlaanderen (2008), Books I Loved Best Yearly (BILBY) Awards for Older Readers (2009) ...more",Young Adult,Fantasy,Romance,
12,Water for Elephants,Sara Gruen,4.09,"1,404,581 ratings","59,044 reviews",,Published May 1st 2007 by Algonquin Books (first published May 2006),,Jacob Jankowski,,,,,
13,The Girl with the Dragon Tattoo,Stieg Larsson,4.14,"2,666,863 ratings","69,215 reviews",465 pages,Published September 16th 2008 by Knopf (first published August 2005),Millennium #1,Lisbeth Salander,,Fiction,Mystery,Thriller,
14,Life of Pi,Yann Martel,3.92,"1,366,456 ratings","47,608 reviews",,Published August 29th 2006 by Seal Books (first published September 11th 2001),,Pi Patel,,Fiction,Fantasy,Classics,
15,The Da Vinci Code,Dan Brown,3.86,"1,973,549 ratings","47,655 reviews",,Published March 28th 2006 by Anchor (first published March 18th 2003),http://danbrown.com/the-davinci-code/,Robert Langdon #2,"British Book Award for Book of the Year (2005), Book Sense Book of the Year Award for Adult Fiction (2004), Humo's Gouden Bladwijzer (2004), Zilveren Vingerafdruk (2004), The Flume: New Hampshire Teen Reader's Choice Award (2006) ...more",,,,
16,The Lovely Bones,Alice Sebold,3.82,"2,052,531 ratings","40,807 reviews",,"Published September 1st 2006 by Little, Brown and Company (first published July 3rd 2002)",,Susie Salmon,,,,,
17,The Road,Cormac McCarthy,3.97,"731,588 ratings","46,343 reviews",241 pages,Published October 2nd 2006 by Alfred A. Knopf (first published September 26th 2006),,The man,,,,,
18,The Curious Incident of the Dog in the Night-Time,Mark Haddon,3.89,"1,219,621 ratings","44,758 reviews",226 pages,Published May 18th 2004 by Vintage (first published July 31st 2003),,http://markhaddon.com/writing/fiction,"Booker Prize Nominee for Longlist (2003), James Tait Black Memorial Prize Nominee for Fiction (2003), Whitbread Award for Novel and Book of the Year (2003), Guardian Children's Fiction Prize (2003), McKitterick Prize (2004) ...more",,,,
19,The Secret Life of Bees,Sue Monk Kidd,4.06,"1,133,728 ratings","30,784 reviews",,Published January 28th 2003 by Penguin Books (first published November 8th 2001),,Lily Owens,,,,,
20,Middlesex,Jeffrey Eugenides,4.01,"587,730 ratings","23,353 reviews",,Published September 16th 2003 by Picador USA (first published September 4th 2002),,Calliope Stephanides,,,,,
21,Harry Potter Series Box Set,J.K. Rowling,4.73,"256,803 ratings","7,442 reviews",,Published October 1st 2007 by Arthur A. Levine Books,Harry Potter #1-7,Mythopoeic Fantasy Award for Children's Literature (2008),,,,,
22,My Sister's Keeper,Jodi Picoult,4.08,"1,072,348 ratings","33,675 reviews",,Published February 1st 2005 by Washington Square Press (first published April 6th 2004),,Anna Fitzgerald,,Fiction,Contemporary,Womens Fiction,
23,The Lightning Thief,Rick Riordan,4.26,"2,057,230 ratings","62,470 reviews",375 pages,Published March 1st 2006 by Disney Hyperion Books (first published June 28th 2005),,Percy Jackson and the Olympians #1,"Young Readers' Choice Award (2008), Books I Loved Best Yearly (BILBY) Awards for Older Readers (2011), South Carolina Book Award for Junior Book Award (2008), Grand Canyon Reader Award for Tween Book (2008), Nene Award (2008) ...more",,,,
24,The Glass Castle,Jeannette Walls,4.28,"928,712 ratings","51,780 reviews",,Published January 17th 2006 by Scribner (first published March 2005),,Jeannette Walls,,Nonfiction,Autobiography,Biography,
25,Breaking Dawn,Stephenie Meyer,3.70,"1,356,473 ratings","47,312 reviews",756 pages,"Published August 2nd 2008 by Little, Brown and Company",,The Twilight Saga #4,"Children's Choice Book Award for Teen Choice Book of the Year (2009), LovelyBooks Leserpreis Nominee for Allgemeine Literatur (2009), LovelyBooks Leserpreis for Romantik/Liebe/Gefühl (2009)",Young Adult,Fantasy,Romance,
26,Atonement,Ian McEwan,3.91,"447,157 ratings","17,519 reviews",351 pages,Published March 2003 by Anchor Books (first published 2001),,Briony Tallis,,,,,
27,Eclipse,Stephenie Meyer,3.70,"1,458,906 ratings","38,119 reviews",629 pages,"Published August 7th 2007 by Little, Brown and Company",,The Twilight Saga #3,"Colorado Blue Spruce Young Adult Book Award (2009), Teen Buckeye Book Award (2008)",Young Adult,Fantasy,Romance,
28,The Shadow of the Wind,Carlos Ruiz Zafón,4.27,"479,020 ratings","36,831 reviews",487 pages,Published 2005 by Penguin Books (first published May 2001),El cementerio de los libros olvidados #1,Daniel Sempere,,,,,
29,Angels & Demons,Dan Brown,3.91,"2,731,130 ratings","29,453 reviews",736 pages,Published April 1st 2006 by Pocket Books (first published May 2000),,http://danbrown.com/angels-demons/,,Fiction,Mystery,Thriller,
30,American Gods,Neil Gaiman,4.10,"776,763 ratings","39,077 reviews",635 pages,Published June 21st 2011 by William Morrow (first published June 19th 2001),American Gods,Shadow Moon,,,,,
31,New Moon,Stephenie Meyer,3.55,"1,503,739 ratings","48,058 reviews",563 pages,"Published September 6th 2006 by Little, Brown and Company",The Twilight Saga #2,Edward Cullen,,,,,
32,The Host,Stephenie Meyer,3.84,"911,485 ratings","41,636 reviews",,"Published May 6th 2008 by Little, Brown and Company (first published 2008)",,The Host #1,,Young Adult,Science Fiction,Fantasy,
33,City of Bones,Cassandra Clare,4.10,"1,655,560 ratings","62,675 reviews",,Published March 27th 2007 by Margaret K. McElderry Books,,https://www.cassandraclare.com/books/book-one-city-of-bones/,,Fantasy,Young Adult,Fantasy,
34,The Girl Who Played with Fire,Stieg Larsson,4.24,"822,575 ratings","34,379 reviews",503 pages,Published July 28th 2009 by Alfred A. Knopf (first published May 9th 2006),,Millennium #2,"Anthony Award Nominee for Best Novel (2010), Dilys Award Nominee (2010), CWA International Dagger Nominee (2009), Svenska Deckarakademins pris för bästa svenska kriminalroman (2006), Goodreads Choice Award for Mystery/Thriller (2009)",Fiction,Mystery,Thriller,
35,The Five People You Meet in Heaven,Mitch Albom,3.94,"588,503 ratings","21,032 reviews",196 pages,Published September 23rd 2003 by Hyperion (first published September 1st 2003),,The Five People You Meet in Heaven #1,Lincoln Award Nominee (2008),,,,
36,Extremely Loud & Incredibly Close,Jonathan Safran Foer,3.97,"385,743 ratings","23,394 reviews",,Published April 4th 2006 by Mariner Books (first published April 4th 2005),,Oskar Schell,,,,,
37,Looking for Alaska,John Green,4.02,"1,144,671 ratings","56,833 reviews",,Published December 28th 2006 by Speak (first published March 3rd 2005),Miles Halter,,,,,,
38,Never Let Me Go,Kazuo Ishiguro,3.82,"487,219 ratings","32,407 reviews",,Published August 31st 2010 by Vintage Books (first published April 11th 2005),,Kathy H.,,Fiction,Science Fiction,Science Fiction,
39,The Guernsey Literary and Potato Peel Pie Society,Mary Ann Shaffer,4.17,"625,439 ratings","54,688 reviews",291 pages,Published July 10th 2018 by Dial Press (first published July 29th 2008),,Sophie Kintock,,,,,
40,"Eat, Pray, Love",Elizabeth Gilbert,3.57,"1,505,688 ratings","54,128 reviews",,Published February 1st 2007 by Riverhead Books (first published February 16th 2006),,Liz Gilbert,,,,,
41,The Name of the Wind,Patrick Rothfuss,4.52,"739,187 ratings","42,902 reviews",,Published April 2007 by Penguin Group DAW (first published March 27th 2007),,http://www.nameofthewind.com,,Fantasy,Fiction,Fantasy,
42,The Thirteenth Tale,Diane Setterfield,3.96,"276,968 ratings","23,209 reviews",,Published September 12th 2006 by Atria Books,,Margaret Lea,,Fiction,Mystery,Historical,
43,Bel Canto,Ann Patchett,3.93,"244,352 ratings","15,369 reviews",,Published August 2nd 2005 by Harper Perennial (first published May 22nd 2001),,Katsumi Hosokawa,All Editions | Add a New Edition | Combine,,,,
44,The Amazing Adventures of Kavalier & Clay,Michael Chabon,4.18,"185,778 ratings","11,056 reviews",,Published August 25th 2001 by Picador USA (first published September 19th 2000),,Joe Kavalier,,,,,
45,The Devil in the White City,Erik Larson,3.99,"539,175 ratings","33,236 reviews",447 pages,Published February 11th 2003 by Random House Audio Publishing Group (first published 2003),,Daniel Burnham,,,,,
46,The Other Boleyn Girl,Philippa Gregory,4.06,"461,299 ratings","16,851 reviews",661 pages,Published May 21st 2003 by Washington Square Press (first published April 21st 2001),The Plantagenet and Tudor Novels #9,Anne Boleyn,,Historical,Fiction,Historical,
47,Me Talk Pretty One Day,David Sedaris,3.99,"627,999 ratings","17,542 reviews",,"Published 2001 by Little, Brown and Company (first published May 2nd 2000)",,David Sedaris,,,,,
48,Eragon,Christopher Paolini,3.91,"1,469,983 ratings","22,484 reviews",,Published April 2005 by Alfred A. Knopf (first published June 2002),,The Inheritance Cycle #1,"Book Sense Book of the Year Award for Children's Literature (2004), Books I Loved Best Yearly (BILBY) Awards for Older Readers (2007), South Carolina Book Award for Young Adult Book (2006), Grand Canyon Reader Award for Teen Book (2006), Nene Award (2006) ...more",,,,
49,A Storm of Swords,George R.R. Martin,4.53,"676,858 ratings","22,323 reviews",,Published March 4th 2003 by Bantam (first published August 8th 2000),,,,,,,
50,Snow Flower and the Secret Fan,Lisa See,4.07,"343,815 ratings","17,908 reviews",,Published June 28th 2005 by Random House (first published 2005),,Snowflower,,,,,
51,The Historian,Elizabeth Kostova,3.78,"247,120 ratings","16,346 reviews",,"Published June 1st 2005 by Little, Brown and Company",,Bartholomew Rossi,,,,,
52,The Girl Who Kicked the Hornet's Nest,Stieg Larsson,4.22,"657,107 ratings","29,212 reviews",566 pages,Published May 23rd 2010 by Knopf (first published May 2007),,http://knopfdoubleday.com/book/98142/the-girl-who-kicked-the-hornets-nest/9780307269997/,,Fiction,Mystery,Thriller,
53,Cloud Atlas,David Mitchell,4.00,"222,002 ratings","19,626 reviews",509 pages,Published August 17th 2004 by Random House (first published March 2004),,Adam Ewing,,Fiction,Science Fiction,Fantasy,
54,Uglies,Scott Westerfeld,3.85,"571,890 ratings","23,738 reviews",,Published February 8th 2005 by Simon Pulse,,Uglies #1,,Young Adult,Science Fiction,Science Fiction,
55,Vampire Academy,Richelle Mead,4.11,"562,186 ratings","22,401 reviews",,Published August 16th 2007 by Razorbill,,https://www.penguin.com/static/packages/us/yreaders/vampireacademy/home.php#vampacademy,,,,,
56,Coraline,Neil Gaiman,4.06,"500,178 ratings","21,834 reviews",,Published August 29th 2006 by William Morrow Paperbacks (first published January 24th 2002),Coraline Jones,,,,,,
57,The Graveyard Book,Neil Gaiman,4.13,"450,809 ratings","32,118 reviews",,Published September 30th 2008 by HarperCollins,,https://www.harpercollins.com/9780060530921/the-graveyard-book/,,Fantasy,Young Adult,Fiction,
58,Jonathan Strange & Mr Norrell,Susanna Clarke,3.82,"205,636 ratings","14,311 reviews",1006 pages,Published August 1st 2006 by Tor Books (first published September 8th 2004),Jonathan Strange,,,Fantasy,Fiction,Historical,
59,Freakonomics: A Rogue Economist Explores the Hidden Side of Everything,Steven D. Levitt,3.98,"725,746 ratings","16,510 reviews",320 pages,Published October 17th 2006 by William Morrow (first published April 12th 2005),,https://www.harpercollins.com/9780061234002/freakonomics-rev-ed/,,Nonfiction,Economics,Business,
60,Nineteen Minutes,Jodi Picoult,4.13,"305,324 ratings","16,034 reviews",,Published March 5th 2007 by Atria Books,,Josie Cormier,,Fiction,Contemporary,Womens Fiction,
61,Kafka on the Shore,Haruki Murakami,4.13,"317,295 ratings","22,203 reviews",,Published January 3rd 2006 by Vintage International (first published 2002),,海辺のカフカ,"World Fantasy Award for Best Novel (2006), Los Angeles Times Book Prize Nominee for Fiction (2005), Independent Foreign Fiction Prize Nominee for Longlist (2006), PEN Translation Prize for Philip Gabriel (2006), Deutscher Jugendliteraturpreis Nominee for Preis der Jugendjury (2005) ...more",,,,
62,Everything Is Illuminated,Jonathan Safran Foer,3.89,"167,104 ratings","7,937 reviews",,Published April 1st 2003 by Harper Perennial (first published April 16th 2002),,Alexander Perchov,,Fiction,Historical,Contemporary,
63,The Last Lecture,Randy Pausch,4.25,"309,287 ratings","17,375 reviews",206 pages,Published April 8th 2008 by Hachette Books,,Randy Pausch,All Editions | Add a New Edition | Combine,,,,
64,Three Cups of Tea: One Man's Mission to Promote Peace ... One School at a Time,Greg Mortenson,3.65,"330,741 ratings","22,215 reviews",349 pages,Published January 30th 2007 by Penguin (first published March 2nd 2006),,Greg Mortenson,,,,,
65,The Memory Keeper's Daughter,Kim Edwards,3.68,"565,314 ratings","19,416 reviews",,Published May 30th 2006 by Penguin Books (first published June 23rd 2005),,Phoebe,,,,,
66,The Namesake,Jhumpa Lahiri,3.99,"237,457 ratings","12,123 reviews",,Published September 1st 2004 by Mariner Books (first published 2003),,http://hmhtrade.com/bookclubs/discussion-guides/the-namesake-by-jhumpa-lahiri/,,,,,
67,The Brief Wondrous Life of Oscar Wao,Junot Díaz,3.90,"234,489 ratings","19,572 reviews",,Published September 6th 2007 by Riverhead Books,,http://www.junotdiaz.com/,"Pulitzer Prize for Fiction (2008), Anisfield-Wolf Book Award (2008), Massachusetts Book Award for Fiction (2008), Los Angeles Times Book Prize Nominee for Fiction (2007), Dayton Literary Peace Prize for Fiction (2008) ...more",,,,
68,The Art of Racing in the Rain,Garth Stein,4.21,"458,393 ratings","39,266 reviews",,Published May 13th 2008 by Harper Collins,,http://www.garthstein.com/arr/,,,,,
69,Persepolis: The Story of a Childhood,Marjane Satrapi,4.25,"162,689 ratings","9,211 reviews",,Published June 1st 2004 by Pantheon (first published April 29th 2003),,Persepolis #1-2,,,,,
70,Oryx and Crake,Margaret Atwood,4.01,"226,380 ratings","13,703 reviews",389 pages,Published March 30th 2004 by Anchor Books (first published April 22nd 2003),,MaddAddam #1,,,,,
71,The Corrections,Jonathan Franzen,3.80,"159,619 ratings","9,519 reviews",,Published September 2nd 2002 by Fourth Estate Paperbacks (first published September 1st 2001),,Alfred Lambert,,,,,
72,Running with Scissors,Augusten Burroughs,3.73,"357,668 ratings","12,655 reviews",,Published June 1st 2003 by Picador USA (first published July 10th 2002),,,,,,,
73,The Amber Spyglass,Philip Pullman,4.08,"308,252 ratings","10,640 reviews",,Published September 9th 2003 by Laurel Leaf (first published October 10th 2000),,His Dark Materials #3,,,,,
74,No Country for Old Men,Cormac McCarthy,4.11,"153,475 ratings","8,179 reviews",,Published July 11th 2006 by Vintage (first published July 2005),,Ed Tom Bell,,,,,
75,The Blind Assassin,Margaret Atwood,3.95,"137,836 ratings","7,953 reviews",,Published September 3rd 2001 by Virago Press Ltd (first published September 2nd 2000),Iris Chase,,,,,,
76,World Without End,Ken Follett,4.26,"205,477 ratings","11,536 reviews",,Published October 4th 2007 by Dutton,Kingsbridge #2,Caris,,,,,
77,A Heartbreaking Work of Staggering Genius,Dave Eggers,3.68,"174,393 ratings","9,219 reviews",,Published February 13th 2001 by Vintage (first published February 17th 2000),,Pulitzer Prize Nominee for General Nonfiction (2001),,,,,
78,The Shack,William Paul Young,3.78,"549,721 ratings","33,265 reviews",,Published June 20th 2008 by Windblown Media (first published May 1st 2007),,Mackenzie Allen Philips,,Fiction,Christian,Christian Fiction,
79,The Omnivore's Dilemma: A Natural History of Four Meals,Michael Pollan,4.16,"187,120 ratings","12,946 reviews",450 pages,Published 2006 by The Penguin Press,,https://michaelpollan.com/books/the-omnivores-dilemma/,All Editions | Add a New Edition | Combine,,,,
80,Cutting for Stone,Abraham Verghese,4.29,"341,246 ratings","25,694 reviews",541 pages,Published February 3rd 2009 by Alfred A. Knopf (first published 2009),,Thomas Stone,,Fiction,Historical,Cultural,
81,The History of Love,Nicole Krauss,3.92,"123,721 ratings","11,069 reviews",,Published May 17th 2006 by Norton (first published May 17th 2005),,Alma Singer,,,,,
82,Sarah's Key,Tatiana de Rosnay,4.16,"426,371 ratings","29,247 reviews",294 pages,Published June 2007 by St. Martins Press (first published September 2006),,https://us.macmillan.com/books/9780312370831,,Historical,Fiction,World War II,
83,Seabiscuit: An American Legend,Laura Hillenbrand,4.20,"148,801 ratings","4,464 reviews",,Published July 1st 2003 by Ballantine Books (first published June 30th 1999),,,,Nonfiction,History,Biography,
84,The Pact,Jodi Picoult,4.01,"276,368 ratings","10,307 reviews",,Published August 29th 2006 by Avon (first published April 22nd 1998),,Chris Harte,,,,,
85,Shantaram,Gregory David Roberts,4.24,"174,592 ratings","13,600 reviews",,Published 2004 by Scribe (first published 2003),,http://www.shantaram.com/,,,,,
86,House of Leaves,Mark Z. Danielewski,4.05,"136,787 ratings","11,357 reviews",,Published March 7th 2000 by Random House,,Zampanò,All Editions | Add a New Edition | Combine,,,,
87,Empire Falls,Richard Russo,3.91,"113,721 ratings","4,510 reviews",483 pages,Published April 12th 2002 by Vintage Books (first published May 8th 2001),,Miles Roby,,,,,
88,The Story of Edgar Sawtelle,David Wroblewski,3.62,"93,934 ratings","13,723 reviews",,Published June 1st 2008 by Ecco,,"Edgar Sawtelle, Gar Sawtelle, Trudy Sawtelle, Claude Sawtelle, John Sawtelle, Mary Sawtelle",,Fiction,Animals,Animals,
89,White Teeth,Zadie Smith,3.78,"127,176 ratings","7,735 reviews",,Published June 12th 2001 by Vintage (first published April 1st 2000),,https://www.penguinrandomhouse.com/books/169680/white-teeth-by-zadie-smith/,"Orange Prize Nominee for Fiction Shortlist (2000), Guardian First Book Award (2000), James Tait Black Memorial Prize for Fiction (2000), Whitbread Award for First Novel (2000), John Llewellyn Rhys Prize Nominee (2000) ...more",,,,
90,A Great and Terrible Beauty,Libba Bray,3.78,"214,301 ratings","9,935 reviews",,Published December 9th 2003 by Simon and Schuster,,Gemma Doyle #1,"Iowa High School Book Award (2007), Lincoln Award Nominee (2007)",Fantasy,Young Adult,Historical,
91,Blink: The Power of Thinking Without Thinking,Malcolm Gladwell,3.94,"500,222 ratings","15,480 reviews",,Published April 3rd 2007 by Back Bay Books (first published January 11th 2005),,,,,,,
92,Fast Food Nation: The Dark Side of the All-American Meal,Eric Schlosser,3.74,"200,167 ratings","5,434 reviews",399 pages,Published July 5th 2005 by Harper Perennial (first published January 17th 2001),,,,,,,
93,The Last Olympian,Rick Riordan,4.50,"692,302 ratings","24,177 reviews",381 pages,Published May 5th 2009 by Disney ● Hyperion Books,,http://rickriordan.com/book/the-last-olympian/,,,,,
94,John Adams,David McCullough,4.05,"320,796 ratings","6,413 reviews",,Published May 22nd 2001 by Simon & Schuster Paperbacks (first published May 1st 2001),,John Adams,,History,Biography,Nonfiction,
95,Anansi Boys,Neil Gaiman,4.02,"198,327 ratings","10,099 reviews",,Published September 26th 2006 by HarperCollins HarperTorch (first published September 20th 2005),,American Gods,"Locus Award for Best Fantasy Novel (2006), Mythopoeic Fantasy Award for Adult Literature (2006), Grand Prix de l'Imaginaire Nominee for Roman étranger (2007), ALA Alex Award (2006), British Fantasy Award for Best Novel (2006)",,,,
96,Daughter of Fortune,Isabel Allende,3.90,"117,571 ratings","4,043 reviews",,Published May 2nd 2006 by Harper Perennial (first published 1998),,Del Valle Family #1,Premio de traducción literaria Valle Inclán Nominee for Margaret Sayers Peden (2000),,,,
97,Year of Wonders,Geraldine Brooks,4.00,"142,799 ratings","10,385 reviews",,Published April 28th 2002 by Penguin Books (first published June 5th 2001),,Anna Frith,,,,,
98,The Sea of Monsters,Rick Riordan,4.24,"775,846 ratings","27,820 reviews",,Published April 1st 2006 by Hyperion Books,,http://rickriordan.com/book/the-sea-of-monsters/,,,,,
99,What Is the What,Dave Eggers,4.13,"78,519 ratings","7,185 reviews",,Published October 18th 2006 by McSweeney's,,,,,,,
100,The Audacity of Hope: Thoughts on Reclaiming the American Dream,Barack Obama,3.78,"146,539 ratings","5,368 reviews",375 pages,Published October 17th 2006 by Crown Publishers (first published June 30th 2004),,Barack Obama,All Editions | Add a New Edition | Combine,,,,
101,Peace Like a River,Leif Enger,3.98,"82,256 ratings","7,903 reviews",,Published August 7th 2002 by Atlantic Monthly Press (first published 2001),,Rube Land,,,,,
102,Inkheart,Cornelia Funke,3.88,"381,023 ratings","12,199 reviews",,Published May 1st 2005 by Scholastic Paperbacks (first published September 23rd 2003),,http://www.corneliafunke.com/,,,,,
103,City of Glass,Cassandra Clare,4.31,"815,259 ratings","28,340 reviews",541 pages,Published March 24th 2009 by Margaret K. McElderry Books,,,,,,,
104,"Animal, Vegetable, Miracle: A Year of Food Life",Barbara Kingsolver,4.03,"101,600 ratings","10,831 reviews",,Published May 1st 2007 by HarperCollins Publishers,,http://www.animalvegetablemiracle.com/,,,,,
105,Under the Banner of Heaven,Jon Krakauer,3.99,"161,238 ratings","10,598 reviews",,Published 2004 by Pan MacMillan (first published July 10th 2003),,http://www.randomhouse.com/features/krakauer/response.html,,,,,
106,City of Ashes,Cassandra Clare,4.16,"768,161 ratings","29,581 reviews",453 pages,Published March 25th 2008 by Margaret K. McElderry Books,,,,Fantasy,Young Adult,Fantasy,
107,The Battle of the Labyrinth,Rick Riordan,4.39,"765,575 ratings","19,929 reviews",,Published March 6th 2008 by Hyperion Books for Children,http://rickriordan.com/book/the-battle-of-the-labyrinth/,Percy Jackson and the Olympians #4,,,,,
108,World War Z: An Oral History of the Zombie War,Max Brooks,4.01,"450,600 ratings","25,874 reviews",,Published September 12th 2006 by Crown,,World War Z,,Horror,Fiction,Horror,
109,The Titan's Curse,Rick Riordan,4.34,"711,693 ratings","21,768 reviews",,Published May 5th 2007 by Puffin Books (first published January 1st 2007),,Percy Jackson and the Olympians #3,Premio El Templo de las Mil Puertas Nominee for Mejor novela extranjera perteneciente a saga (2009),,,,
110,The Boy in the Striped Pajamas,John Boyne,4.15,"542,525 ratings","27,491 reviews",,Published September 12th 2006 by David Fickling Books (first published January 5th 2006),Bruno Wisitzki,,,Historical,Fiction,Young Adult,
111,Suite Française,Irène Némirovsky,3.82,"66,663 ratings","6,516 reviews",,Published April 10th 2007 by Vintage (first published September 2004),,Charlotte Péricand,All Editions | Add a New Edition | Combine,Fiction,Historical,Cultural,
112,A Short History of Nearly Everything,Bill Bryson,4.19,"309,040 ratings","12,642 reviews",544 pages,Published September 14th 2004 by Broadway Books (first published May 6th 2003),,Samuel Johnson Prize for Non-Fiction Nominee (2004),,,,,
113,Plain Truth,Jodi Picoult,3.97,"165,818 ratings","7,264 reviews",,Published November 1st 2004 by Atria Books (first published May 1st 2000),,,,,,,
114,The Penultimate Peril,Lemony Snicket,4.05,"90,852 ratings","2,416 reviews",,Published October 18th 2005 by HarperCollins Publishers,,A Series of Unfortunate Events #12,All Editions | Add a New Edition | Combine,,,,
115,Gilead,Marilynne Robinson,3.85,"84,069 ratings","10,762 reviews",,Published January 10th 2006 by Picador USA (first published October 28th 2004),,Gilead #1,"Pulitzer Prize for Fiction (2005), Orange Prize Nominee for Fiction Longlist (2006), PEN/Faulkner Award for Fiction Nominee (2005), Ambassador Book Award for Fiction (2005), Los Angeles Times Book Prize Nominee for Fiction (2004) ...more",,,,
116,Graceling,Kristin Cashore,4.07,"395,682 ratings","22,492 reviews",,Published October 1st 2008 by Harcourt,,,,,,,
117,The Book of Lost Things,John Connolly,3.93,"73,414 ratings","7,968 reviews",,Published November 7th 2006 by Atria Books,,David Strorm,,,,,
118,"Lamb: The Gospel According to Biff, Christ's Childhood Pal",Christopher Moore,4.23,"155,082 ratings","11,948 reviews",,Published May 25th 2004 by William Morrow / HarperCollins / Harper Perennial (first published March 1st 2002),,"Levi ""Biff""",,,,,
119,On Writing: A Memoir of the Craft,Stephen King,4.32,"228,857 ratings","18,027 reviews",320 pages,Published July 2002 by Pocket Books (first published 2000),,Stephen King,All Editions | Add a New Edition | Combine,,,,
120,Frostbite,Richelle Mead,4.26,"317,762 ratings","11,416 reviews",,Published April 10th 2008 by Razorbill (first published April 1st 2008),Vampire Academy #2,"Vasilisa ""Lissa"" Dragomir",,,,,
121,We Need to Talk About Kevin,Lionel Shriver,4.05,"169,005 ratings","14,008 reviews",,Published July 3rd 2006 by Harper Perennial (first published April 14th 2003),,Eva Khatchadourian,All Editions | Add a New Edition | Combine,,,,
122,The Secret Magdalene,Ki Longfellow,4.08,"4,345 ratings",462 reviews,,Published March 27th 2007 by Crown (first published 2005),,Salome,,,,,
123,A Feast for Crows,George R.R. Martin,4.14,"638,889 ratings","21,939 reviews",,Published 2011 by Bantam Books (first published October 17th 2005),,A Song of Ice and Fire (1-in-2) #8,,,,,
124,Shadow Kiss,Richelle Mead,4.34,"333,183 ratings","11,412 reviews",,Published November 13th 2008 by Razorbill,,https://www.penguin.com/static/packages/us/yreaders/vampireacademy/home.php#shadowkiss,,,,,
